chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
292 scaffold_1 1588008 1588034 - JGI_V11_205163 1586749 1588539 27 - 3480 -0.833967799371608 scaffold_1_1588008_1588034_-
293 scaffold_1 1600907 1600908 - JGI_V11_94124 1599535 1601465 2 - 260 -0.898708933003691 scaffold_1_1600907_1600908_-
294 scaffold_1 1629597 1629601 - JGI_V11_39792 1627659 1629872 5 - 533 1.53292147293912 scaffold_1_1629597_1629601_-
298 scaffold_1 1855162 1855165 - JGI_V11_232298 1846998 1859413 4 - 2158 1.02198620275079 scaffold_1_1855162_1855165_-
299 scaffold_1 1855385 1855387 - JGI_V11_232298 1846998 1859413 3 - 1135 1.02198620275079 scaffold_1_1855385_1855387_-
301 scaffold_1 1863874 1863879 - JGI_V11_299857 1863226 1864379 6 - 1834 0.681798944345107 scaffold_1_1863874_1863879_-
302 scaffold_1 1867601 1867602 - JGI_V11_300069 1864942 1868809 2 - 519 -1.27597380183989 scaffold_1_1867601_1867602_-
303 scaffold_1 1868301 1868388 - JGI_V11_300069 1864942 1868809 88 - 40348 -1.27597380183989 scaffold_1_1868301_1868388_-
306 scaffold_1 1892642 1892643 - JGI_V11_205205 1889578 1896849 2 - 1273 0.921688669314273 scaffold_1_1892642_1892643_-
307 scaffold_1 1893148 1893152 - JGI_V11_205205 1889578 1896849 5 - 3149 0.921688669314273 scaffold_1_1893148_1893152_-
308 scaffold_1 1896235 1896237 - JGI_V11_205205 1889578 1896849 3 - 1487 0.921688669314273 scaffold_1_1896235_1896237_-
312 scaffold_1 1908653 1908658 - JGI_V11_220078 1907758 1909154 6 - 2832 -1.02991047619527 scaffold_1_1908653_1908658_-
313 scaffold_1 1919094 1919096 - JGI_V11_309723 1916596 1919419 3 - 655 -1.84108656805923 scaffold_1_1919094_1919096_-
314 scaffold_1 1925769 1925782 - JGI_V11_205211 1921975 1926121 14 - 6416 -2.24167799917045 scaffold_1_1925769_1925782_-
316 scaffold_1 1930679 1930732 - JGI_V11_205212 1926963 1931208 54 - 10721 -0.101448835556451 scaffold_1_1930679_1930732_-
318 scaffold_1 2053700 2053701 - JGI_V11_300082 2047602 2053852 2 - 866 0.226508944584243 scaffold_1_2053700_2053701_-
319 scaffold_1 2068048 2068049 - JGI_V11_300085 2064015 2068547 2 - 2048 -0.280754723672721 scaffold_1_2068048_2068049_-
320 scaffold_1 2068080 2068112 - JGI_V11_300085 2064015 2068547 33 - 1765 -0.280754723672721 scaffold_1_2068080_2068112_-
321 scaffold_1 2079352 2079364 - JGI_V11_300086 2076678 2079776 13 - 19735 -0.0933257582420151 scaffold_1_2079352_2079364_-
322 scaffold_1 2082750 2082756 - JGI_V11_300088 2081842 2083312 7 - 1940 -2.56341856435262 scaffold_1_2082750_2082756_-
324 scaffold_1 2208521 2208522 - JGI_V11_299880 2206313 2210660 2 - 215 -0.763325373316132 scaffold_1_2208521_2208522_-
325 scaffold_1 2210156 2210161 - JGI_V11_299880 2206313 2210660 6 - 3660 -0.763325373316132 scaffold_1_2210156_2210161_-
331 scaffold_1 2252746 2252755 - JGI_V11_190107 2247965 2256898 10 - 1454 -0.382219278824041 scaffold_1_2252746_2252755_-
332 scaffold_1 2252860 2252879 - JGI_V11_190107 2247965 2256898 20 - 2031 -0.382219278824041 scaffold_1_2252860_2252879_-
333 scaffold_1 2256561 2256562 - JGI_V11_190107 2247965 2256898 2 - 812 -0.382219278824041 scaffold_1_2256561_2256562_-
334 scaffold_1 2278178 2278185 - JGI_V11_299887 2276074 2278685 8 - 1248 -0.0193645944527452 scaffold_1_2278178_2278185_-
335 scaffold_1 2319959 2319975 - JGI_V11_39705 2318229 2319982 17 - 5597 -0.829458745607592 scaffold_1_2319959_2319975_-
336 scaffold_1 2327585 2327602 - JGI_V11_230092 2326254 2328150 18 - 5644 -2.02288457462664 scaffold_1_2327585_2327602_-
337 scaffold_1 2327649 2327662 - JGI_V11_230092 2326254 2328150 14 - 2180 -2.02288457462664 scaffold_1_2327649_2327662_-
338 scaffold_1 2332009 2332046 - JGI_V11_300109 2328373 2332412 38 - 2899 -0.767688653511766 scaffold_1_2332009_2332046_-
340 scaffold_1 2353268 2353272 - JGI_V11_309817 2349390 2353532 5 - 1204 -1.65324855436948 scaffold_1_2353268_2353272_-
341 scaffold_1 2353346 2353358 - JGI_V11_309817 2349390 2353532 13 - 441 -1.65324855436948 scaffold_1_2353346_2353358_-
342 scaffold_1 2359401 2359405 - JGI_V11_300112 2357732 2359799 5 - 644 0.216987764502017 scaffold_1_2359401_2359405_-
343 scaffold_1 2369346 2369347 - JGI_V11_299900 2367199 2369900 2 - 1213 -3.21473507059373 scaffold_1_2369346_2369347_-
344 scaffold_1 2405414 2405415 - JGI_V11_309832 2401691 2411422 2 - 473 -1.31496778007879 scaffold_1_2405414_2405415_-
345 scaffold_1 2410930 2410942 - JGI_V11_309832 2401691 2411422 13 - 6332 -1.31496778007879 scaffold_1_2410930_2410942_-
346 scaffold_1 2415010 2415012 - JGI_V11_299902 2413715 2416053 3 - 932 -0.155705253743718 scaffold_1_2415010_2415012_-
347 scaffold_1 2415527 2415561 - JGI_V11_299902 2413715 2416053 35 - 11339 -0.155705253743718 scaffold_1_2415527_2415561_-
349 scaffold_1 2464040 2464048 - JGI_V11_205304 2463557 2467118 9 - 2896 0.0824902471960769 scaffold_1_2464040_2464048_-
350 scaffold_1 2464071 2464081 - JGI_V11_205304 2463557 2467118 11 - 3311 0.0824902471960769 scaffold_1_2464071_2464081_-
351 scaffold_1 2464104 2464112 - JGI_V11_205304 2463557 2467118 9 - 1702 0.0824902471960769 scaffold_1_2464104_2464112_-
352 scaffold_1 2464269 2464270 - JGI_V11_205304 2463557 2467118 2 - 1843 0.0824902471960769 scaffold_1_2464269_2464270_-
353 scaffold_1 2464304 2464305 - JGI_V11_205304 2463557 2467118 2 - 423 0.0824902471960769 scaffold_1_2464304_2464305_-
354 scaffold_1 2464531 2464535 - JGI_V11_205304 2463557 2467118 5 - 1437 0.0824902471960769 scaffold_1_2464531_2464535_-
355 scaffold_1 2464591 2464595 - JGI_V11_205304 2463557 2467118 5 - 888 0.0824902471960769 scaffold_1_2464591_2464595_-
356 scaffold_1 2464940 2464941 - JGI_V11_205304 2463557 2467118 2 - 566 0.0824902471960769 scaffold_1_2464940_2464941_-
357 scaffold_1 2465003 2465041 - JGI_V11_205304 2463557 2467118 39 - 7620 0.0824902471960769 scaffold_1_2465003_2465041_-
358 scaffold_1 2465100 2465120 - JGI_V11_205304 2463557 2467118 21 - 3694 0.0824902471960769 scaffold_1_2465100_2465120_-
359 scaffold_1 2465713 2465714 - JGI_V11_205304 2463557 2467118 2 - 558 0.0824902471960769 scaffold_1_2465713_2465714_-
360 scaffold_1 2465767 2465768 - JGI_V11_205304 2463557 2467118 2 - 1230 0.0824902471960769 scaffold_1_2465767_2465768_-
361 scaffold_1 2466613 2466656 - JGI_V11_205304 2463557 2467118 44 - 32760 0.0824902471960769 scaffold_1_2466613_2466656_-
362 scaffold_1 2475865 2475866 - JGI_V11_309841 2467940 2477233 2 - 800 -1.91021042929742 scaffold_1_2475865_2475866_-
363 scaffold_1 2505917 2505919 - JGI_V11_299908 2498572 2506409 3 - 4452 0.374427724440809 scaffold_1_2505917_2505919_-
365 scaffold_1 2569901 2569910 - JGI_V11_22062 2566315 2570227 10 - 1644 0.453716425042522 scaffold_1_2569901_2569910_-
366 scaffold_1 2608424 2608426 - JGI_V11_232470 2607569 2608575 3 - 736 -1.47641808674637 scaffold_1_2608424_2608426_-
367 scaffold_1 2610838 2610839 - JGI_V11_309863 2608781 2611393 2 - 502 -1.17450485151502 scaffold_1_2610838_2610839_-
368 scaffold_1 2611167 2611170 - JGI_V11_309863 2608781 2611393 4 - 2247 -1.17450485151502 scaffold_1_2611167_2611170_-
369 scaffold_1 2616292 2616297 - JGI_V11_299912 2615120 2616793 6 - 1621 0.901616808857372 scaffold_1_2616292_2616297_-
372 scaffold_1 2636058 2636069 - JGI_V11_300127 2634412 2636511 12 - 7417 -1.61525115140204 scaffold_1_2636058_2636069_-
373 scaffold_1 2636093 2636132 - JGI_V11_300127 2634412 2636511 40 - 14158 -1.61525115140204 scaffold_1_2636093_2636132_-
374 scaffold_1 2644531 2644611 - JGI_V11_190185 2643206 2645087 81 - 8195 -2.1114375191481 scaffold_1_2644531_2644611_-
375 scaffold_1 2651965 2651966 - JGI_V11_299917 2651365 2653298 2 - 1108 -1.25881221557057 scaffold_1_2651965_2651966_-
376 scaffold_1 2652027 2652028 - JGI_V11_299917 2651365 2653298 2 - 601 -1.25881221557057 scaffold_1_2652027_2652028_-
377 scaffold_1 2652200 2652201 - JGI_V11_299917 2651365 2653298 2 - 875 -1.25881221557057 scaffold_1_2652200_2652201_-
378 scaffold_1 2652426 2652479 - JGI_V11_299917 2651365 2653298 54 - 18452 -1.25881221557057 scaffold_1_2652426_2652479_-
379 scaffold_1 2652745 2652790 - JGI_V11_299917 2651365 2653298 46 - 27543 -1.25881221557057 scaffold_1_2652745_2652790_-
380 scaffold_1 2665614 2665619 - JGI_V11_300129 2662222 2666019 6 - 1052 -0.619686703824892 scaffold_1_2665614_2665619_-
384 scaffold_1 2794973 2794977 - JGI_V11_230117 2794420 2795957 5 - 684 0.836859172348465 scaffold_1_2794973_2794977_-
385 scaffold_1 2795410 2795462 - JGI_V11_230117 2794420 2795957 53 - 57617 0.836859172348465 scaffold_1_2795410_2795462_-
386 scaffold_1 2876326 2876396 - JGI_V11_299929 2874358 2876875 71 - 9163 -0.28322686552822 scaffold_1_2876326_2876396_-
387 scaffold_1 2879731 2879768 - JGI_V11_309921 2877950 2880264 38 - 4495 -0.949546765765694 scaffold_1_2879731_2879768_-
388 scaffold_1 2923118 2923119 - JGI_V11_91808 2921359 2923808 2 - 293 -0.996517420044066 scaffold_1_2923118_2923119_-
389 scaffold_1 2923268 2923270 - JGI_V11_91808 2921359 2923808 3 - 726 -0.996517420044066 scaffold_1_2923268_2923270_-
390 scaffold_1 2935658 2935663 - JGI_V11_190238 2932874 2936160 6 - 2640 -0.291629023496707 scaffold_1_2935658_2935663_-
391 scaffold_1 3004099 3004100 - JGI_V11_309941 2969913 3041236 2 - 2062 1.07716452724858 scaffold_1_3004099_3004100_-
392 scaffold_1 3006625 3006626 - JGI_V11_309941 2969913 3041236 2 - 367 1.07716452724858 scaffold_1_3006625_3006626_-
393 scaffold_1 3013758 3013764 - JGI_V11_309941 2969913 3041236 7 - 2228 1.07716452724858 scaffold_1_3013758_3013764_-
394 scaffold_1 3040240 3040241 - JGI_V11_309941 2969913 3041236 2 - 514 1.07716452724858 scaffold_1_3040240_3040241_-
397 scaffold_1 3097686 3097687 - JGI_V11_300152 3094547 3098188 2 - 1010 0.315450981745523 scaffold_1_3097686_3097687_-
398 scaffold_1 3100600 3100601 - JGI_V11_309953 3098355 3101009 2 - 1705 1.29350862991355 scaffold_1_3100600_3100601_-
399 scaffold_1 3111018 3111019 - JGI_V11_299942 3108388 3111546 2 - 1053 0.523877411770125 scaffold_1_3111018_3111019_-
400 scaffold_1 3115212 3115213 - JGI_V11_220226 3113036 3115678 2 - 10645 0.386792914601519 scaffold_1_3115212_3115213_-
401 scaffold_1 3115247 3115255 - JGI_V11_220226 3113036 3115678 9 - 10456 0.386792914601519 scaffold_1_3115247_3115255_-
402 scaffold_1 3121520 3121521 - JGI_V11_190268 3117697 3122057 2 - 366 -0.176558710541415 scaffold_1_3121520_3121521_-
403 scaffold_1 3208359 3208364 - JGI_V11_40075 3207652 3208554 6 - 2335 -0.833120479470178 scaffold_1_3208359_3208364_-
404 scaffold_1 3248352 3248353 - JGI_V11_299950 3245208 3252659 2 - 567 0.315256703019849 scaffold_1_3248352_3248353_-
405 scaffold_1 3252186 3252188 - JGI_V11_299950 3245208 3252659 3 - 2165 0.315256703019849 scaffold_1_3252186_3252188_-
407 scaffold_1 3275378 3275462 - JGI_V11_220245 3274661 3275958 85 - 72394 0.682706862478597 scaffold_1_3275378_3275462_-
408 scaffold_1 3299015 3299048 - JGI_V11_232637 3298596 3299478 34 - 2013 0.551874082235264 scaffold_1_3299015_3299048_-
410 scaffold_1 3368325 3368326 - JGI_V11_18307 3367642 3368487 2 - 376 0.410111603176167 scaffold_1_3368325_3368326_-
412 scaffold_1 3752741 3752779 - JGI_V11_190307 3749173 3753280 39 - 4780 -0.426905380156563 scaffold_1_3752741_3752779_-
415 scaffold_1 3861603 3861619 - JGI_V11_300170 3858147 3861935 17 - 2370 0.0645874372285882 scaffold_1_3861603_3861619_-
416 scaffold_1 3863777 3863812 - JGI_V11_300171 3861768 3864316 36 - 5049 0.640543983626889 scaffold_1_3863777_3863812_-
417 scaffold_1 3877435 3877442 - JGI_V11_310020 3875517 3877835 8 - 1621 -2.48285717352009 scaffold_1_3877435_3877442_-
418 scaffold_1 3877463 3877464 - JGI_V11_310020 3875517 3877835 2 - 959 -2.48285717352009 scaffold_1_3877463_3877464_-
419 scaffold_1 3897521 3897544 - JGI_V11_300174 3884605 3897721 24 - 1566 0.219076134295348 scaffold_1_3897521_3897544_-
420 scaffold_1 3899192 3899209 - JGI_V11_40110 3898135 3899624 18 - 2925 -0.0700533148675446 scaffold_1_3899192_3899209_-
421 scaffold_1 3914417 3914425 - JGI_V11_232717 3911690 3916238 9 - 2569 -0.246567714411376 scaffold_1_3914417_3914425_-
422 scaffold_1 3922467 3922479 - JGI_V11_300176 3919255 3922800 13 - 7364 0.44939675242614 scaffold_1_3922467_3922479_-
423 scaffold_1 3922510 3922524 - JGI_V11_300176 3919255 3922800 15 - 2614 0.44939675242614 scaffold_1_3922510_3922524_-
427 scaffold_1 3977656 3977665 - JGI_V11_205523 3976171 3978213 10 - 3211 0.25056629414169 scaffold_1_3977656_3977665_-
428 scaffold_1 3977707 3977712 - JGI_V11_205523 3976171 3978213 6 - 2170 0.25056629414169 scaffold_1_3977707_3977712_-
430 scaffold_1 4048773 4048777 - JGI_V11_300180 4046284 4049227 5 - 2366 0.819665990205527 scaffold_1_4048773_4048777_-
432 scaffold_1 4131094 4131095 - JGI_V11_299977 4128442 4131562 2 - 1508 -0.138878781001851 scaffold_1_4131094_4131095_-
434 scaffold_1 4157544 4157545 - JGI_V11_94531 4156710 4160646 2 - 864 -0.868795921972799 scaffold_1_4157544_4157545_-
435 scaffold_1 4163502 4163509 - JGI_V11_186991 4160949 4163976 8 - 1971 -0.585739804471468 scaffold_1_4163502_4163509_-
436 scaffold_1 4163556 4163569 - JGI_V11_186991 4160949 4163976 14 - 1775 -0.585739804471468 scaffold_1_4163556_4163569_-
437 scaffold_1 4187177 4187260 - JGI_V11_299980 4185319 4187773 84 - 10188 -1.90986275288399 scaffold_1_4187177_4187260_-
438 scaffold_1 4189643 4189652 - JGI_V11_299981 4187680 4190171 10 - 1237 -0.316843218226432 scaffold_1_4189643_4189652_-
439 scaffold_1 4192422 4192453 - JGI_V11_310068 4191834 4192796 32 - 4033 -2.05700332678205 scaffold_1_4192422_4192453_-
448 scaffold_10 89728 89729 + JGI_V11_98603 89379 90959 2 + 1813 -1.10433524857284 scaffold_10_89728_89729_+
449 scaffold_10 93323 93328 + JGI_V11_300337 93292 96848 6 + 1142 -1.29008433699722 scaffold_10_93323_93328_+
451 scaffold_10 122101 122126 + JGI_V11_300342 121639 124217 26 + 10894 -2.01864417619429 scaffold_10_122101_122126_+
454 scaffold_10 223564 223565 + JGI_V11_300344 222092 228488 2 + 821 -0.0245401199872837 scaffold_10_223564_223565_+
455 scaffold_10 271984 271994 + JGI_V11_300346 271483 275112 11 + 7865 -0.728206540439059 scaffold_10_271984_271994_+
456 scaffold_10 278100 278104 + JGI_V11_313807 275062 282303 5 + 1033 -1.55791122146513 scaffold_10_278100_278104_+
457 scaffold_10 278188 278192 + JGI_V11_313807 275062 282303 5 + 10660 -1.55791122146513 scaffold_10_278188_278192_+
458 scaffold_10 286291 286295 + JGI_V11_300347 285821 288477 5 + 592 -1.34775949534457 scaffold_10_286291_286295_+
459 scaffold_10 307522 307544 + JGI_V11_300212 307031 308784 23 + 17620 0.347692658377007 scaffold_10_307522_307544_+
460 scaffold_10 321055 321061 + JGI_V11_208840 320454 321921 7 + 1516 -0.18438991926951 scaffold_10_321055_321061_+
461 scaffold_10 380379 380380 + JGI_V11_300356 379499 384527 2 + 452 -2.07927561778076 scaffold_10_380379_380380_+
462 scaffold_10 385731 385767 + JGI_V11_300219 385276 388495 37 + 6986 -1.80043547266572 scaffold_10_385731_385767_+
463 scaffold_10 411119 411120 + JGI_V11_300225 410813 412262 2 + 787 -1.58943217224095 scaffold_10_411119_411120_+
464 scaffold_10 417349 417350 + JGI_V11_313850 415015 418180 2 + 729 -2.08960248648502 scaffold_10_417349_417350_+
465 scaffold_10 425253 425255 + JGI_V11_300228 424793 426189 3 + 1210 -1.86933325598425 scaffold_10_425253_425255_+
466 scaffold_10 430190 430191 + JGI_V11_300229 429727 431218 2 + 494 0.839630253449358 scaffold_10_430190_430191_+
468 scaffold_10 457129 457140 + JGI_V11_300361 456595 457960 12 + 2163 -0.71443501276601 scaffold_10_457129_457140_+
469 scaffold_10 462110 462111 + JGI_V11_46184 461797 462798 2 + 901 -2.14127975454139 scaffold_10_462110_462111_+
470 scaffold_10 476937 476965 + JGI_V11_313869 476452 477844 29 + 2767 -0.755735661706222 scaffold_10_476937_476965_+
471 scaffold_10 493618 493619 + JGI_V11_300366 493056 495485 2 + 2414 -1.82840602785292 scaffold_10_493618_493619_+
472 scaffold_10 493947 493951 + JGI_V11_300366 493056 495485 5 + 600 -1.82840602785292 scaffold_10_493947_493951_+
473 scaffold_10 521208 521210 + JGI_V11_300240 520707 521802 3 + 3555 -1.56002861357612 scaffold_10_521208_521210_+
474 scaffold_10 522704 522712 + JGI_V11_300241 522206 523388 9 + 199330 -0.0324627499381309 scaffold_10_522704_522712_+
475 scaffold_10 522836 522837 + JGI_V11_300241 522206 523388 2 + 414 -0.0324627499381309 scaffold_10_522836_522837_+
476 scaffold_10 522872 522880 + JGI_V11_300241 522206 523388 9 + 1362 -0.0324627499381309 scaffold_10_522872_522880_+
477 scaffold_10 522904 523029 + JGI_V11_300241 522206 523388 126 + 36347 -0.0324627499381309 scaffold_10_522904_523029_+
478 scaffold_10 523052 523059 + JGI_V11_300241 522206 523388 8 + 9961 -0.0324627499381309 scaffold_10_523052_523059_+
479 scaffold_10 548312 548317 + JGI_V11_237688 540686 549385 6 + 2356 -0.751271111272577 scaffold_10_548312_548317_+
480 scaffold_10 583534 583541 + JGI_V11_237695 582635 586458 8 + 8618 -0.894929120792575 scaffold_10_583534_583541_+
481 scaffold_10 599027 599055 + JGI_V11_300372 598324 599551 29 + 5105 -0.351316507796773 scaffold_10_599027_599055_+
482 scaffold_10 600315 600319 + JGI_V11_313904 599897 600889 5 + 5765 -0.957600469089615 scaffold_10_600315_600319_+
484 scaffold_10 626991 626992 + JGI_V11_45860 626718 627961 2 + 1317 0.0136941425134984 scaffold_10_626991_626992_+
486 scaffold_10 635014 635021 + JGI_V11_127589 634770 639982 8 + 24587 -0.676247451173428 scaffold_10_635014_635021_+
487 scaffold_10 661026 661027 + JGI_V11_313921 660576 661975 2 + 2128 0.0841343162001118 scaffold_10_661026_661027_+
488 scaffold_10 662841 662846 + JGI_V11_299530 662344 663720 6 + 5876 -0.0159022345927489 scaffold_10_662841_662846_+
489 scaffold_10 666589 666593 + JGI_V11_313924 666144 668892 5 + 1069 -0.241977869989949 scaffold_10_666589_666593_+
490 scaffold_10 670071 670072 + JGI_V11_300252 669554 671281 2 + 859 0.681134340219644 scaffold_10_670071_670072_+
491 scaffold_10 673199 673205 + JGI_V11_300377 672932 675172 7 + 11286 0.572417736900953 scaffold_10_673199_673205_+
492 scaffold_10 673526 673532 + JGI_V11_300377 672932 675172 7 + 1407 0.572417736900953 scaffold_10_673526_673532_+
493 scaffold_10 674360 674377 + JGI_V11_300377 672932 675172 18 + 595 0.572417736900953 scaffold_10_674360_674377_+
494 scaffold_10 679492 679496 + JGI_V11_300253 679026 680423 5 + 298 -0.393993001497417 scaffold_10_679492_679496_+
495 scaffold_10 679526 679527 + JGI_V11_300253 679026 680423 2 + 880 -0.393993001497417 scaffold_10_679526_679527_+
496 scaffold_10 690674 690675 + JGI_V11_300254 690053 691531 2 + 88 0.110549214110391 scaffold_10_690674_690675_+
497 scaffold_10 698639 698643 + JGI_V11_313938 698200 709825 5 + 2163 0.0342362481283371 scaffold_10_698639_698643_+
498 scaffold_10 722832 722835 + JGI_V11_237736 713392 727743 4 + 370 -1.0197220239051 scaffold_10_722832_722835_+
500 scaffold_10 793534 793535 + JGI_V11_98761 793215 798351 2 + 596 -0.364136166642476 scaffold_10_793534_793535_+
501 scaffold_10 856874 856875 + JGI_V11_237770 856601 859315 2 + 484 -0.245312958116108 scaffold_10_856874_856875_+
502 scaffold_10 878981 878995 + JGI_V11_98779 878709 880118 15 + 1600 -1.37494980254092 scaffold_10_878981_878995_+
503 scaffold_10 881559 881625 + JGI_V11_300259 881095 884715 67 + 96720 0.255155068557815 scaffold_10_881559_881625_+
504 scaffold_10 882462 882468 + JGI_V11_300259 881095 884715 7 + 1927 0.255155068557815 scaffold_10_882462_882468_+
505 scaffold_10 882665 882776 + JGI_V11_300259 881095 884715 112 + 51356 0.255155068557815 scaffold_10_882665_882776_+
506 scaffold_10 882904 882957 + JGI_V11_300259 881095 884715 54 + 4406 0.255155068557815 scaffold_10_882904_882957_+
507 scaffold_10 883069 883105 + JGI_V11_300259 881095 884715 37 + 6281 0.255155068557815 scaffold_10_883069_883105_+
508 scaffold_10 883466 883473 + JGI_V11_300259 881095 884715 8 + 1175 0.255155068557815 scaffold_10_883466_883473_+
509 scaffold_10 883617 883618 + JGI_V11_300259 881095 884715 2 + 476 0.255155068557815 scaffold_10_883617_883618_+
510 scaffold_10 883656 883657 + JGI_V11_300259 881095 884715 2 + 1742 0.255155068557815 scaffold_10_883656_883657_+
511 scaffold_10 883681 883682 + JGI_V11_300259 881095 884715 2 + 2106 0.255155068557815 scaffold_10_883681_883682_+
512 scaffold_10 883737 883782 + JGI_V11_300259 881095 884715 46 + 14807 0.255155068557815 scaffold_10_883737_883782_+
513 scaffold_10 883830 883867 + JGI_V11_300259 881095 884715 38 + 4157 0.255155068557815 scaffold_10_883830_883867_+
514 scaffold_10 884119 884141 + JGI_V11_300259 881095 884715 23 + 4309 0.255155068557815 scaffold_10_884119_884141_+
